decennie,genre,compte,rang
1910,,542,1
1910,Animation,33,2
1910,Documentaire,23,3
1910,Autres,6,4
1910,Sf,4,5
1910,Comédie,2,6
1910,Historique,2,7
1910,Aventure,1,8
1920,,701,1
1920,Animation,90,2
1920,Autres,46,3
1920,Documentaire,25,4
1920,Comédie,23,5
1920,Aventure,10,6
1920,Sf,4,7
1920,Historique,2,8
1920,Crime,1,9
1930,,1402,1
1930,Animation,191,2
1930,Autres,89,3
1930,Documentaire,52,4
1930,Aventure,16,5
1930,Comédie,14,6
1930,Sf,9,7
1930,Historique,5,8
1930,Drame,2,9
1930,Musical,2,10
1930,Action,1,11
1930,Amour,1,12
1930,Crime,1,13
1940,,2508,1
1940,Animation,507,2
1940,Documentaire,180,3
1940,Aventure,85,4
1940,Comédie,45,5
1940,Autres,36,6
1940,Sf,27,7
1940,Historique,20,8
1940,Drame,7,9
1940,Musical,7,10
1940,Action,6,11
1940,Crime,5,12
1950,,2832,1
1950,Animation,523,2
1950,Documentaire,450,3
1950,Aventure,123,4
1950,Autres,73,5
1950,Comédie,63,6
1950,Sf,54,7
1950,Crime,33,8
1950,Musical,32,9
1950,Drame,31,10
1950,Historique,27,11
1950,Action,12,12
1950,Amour,1,13
1960,,4142,1
1960,Documentaire,872,2
1960,Animation,400,3
1960,Aventure,224,4
1960,Autres,120,5
1960,Sf,106,6
1960,Comédie,51,7
1960,Historique,40,8
1960,Crime,32,9
1960,Musical,19,10
1960,Drame,15,11
1960,Action,11,12
1960,Amour,2,13
1970,,5672,1
1970,Documentaire,1565,2
1970,Animation,849,3
1970,Autres,309,4
1970,Sf,188,5
1970,Aventure,157,6
1970,Comédie,75,7
1970,Historique,65,8
1970,Musical,44,9
1970,Drame,33,10
1970,Crime,27,11
1970,Action,20,12
1970,Amour,6,13
1980,,6830,1
1980,Documentaire,2408,2
1980,Animation,788,3
1980,Autres,663,4
1980,Sf,152,5
1980,Comédie,68,6
1980,Aventure,66,7
1980,Historique,45,8
1980,Crime,41,9
1980,Drame,36,10
1980,Action,29,11
1980,Amour,26,12
1980,Musical,10,13
1990,,8018,1
1990,Documentaire,1360,2
1990,Autres,641,3
1990,Animation,502,4
1990,Comédie,91,5
1990,Sf,75,6
1990,Drame,41,7
1990,Historique,33,8
1990,Action,28,9
1990,Crime,25,10
1990,Aventure,24,11
1990,Musical,19,12
1990,Amour,4,13
2000,,8077,1
2000,Documentaire,1134,2
2000,Autres,814,3
2000,Animation,501,4
2000,Comédie,138,5
2000,Drame,114,6
2000,Crime,38,7
2000,Action,35,8
2000,Historique,26,9
2000,Aventure,22,10
2000,Sf,19,11
2000,Musical,16,12
2000,Amour,13,13
2010,,7422,1
2010,Documentaire,1935,2
2010,Autres,899,3
2010,Animation,604,4
2010,Drame,121,5
2010,Comédie,104,6
2010,Sf,47,7
2010,Crime,35,8
2010,Action,27,9
2010,Historique,27,10
2010,Musical,23,11
2010,Aventure,15,12
2010,Amour,4,13
2020,,3219,1
2020,Documentaire,782,2
2020,Autres,410,3
2020,Animation,124,4
2020,Comédie,37,5
2020,Crime,20,6
2020,Sf,18,7
2020,Historique,11,8
2020,Drame,9,9
2020,Action,7,10
2020,Aventure,6,11
2020,Musical,3,12
